student.type,field,Pct.Anomalies,Pct.Missing
Admitted,Population,0,0
Admitted,Active.Term,0,0
Admitted,Address.,0,0.001874766
Admitted,Email.,0.000224972,0.036595426
Admitted,Program,0,0
Admitted,Citizenship.Coutry,0,0.76767904
Admitted,Visa.Required,0,0
Applicant,Population,0,0
Applicant,Active.Term,0,3.07721E-05
Applicant,Email.,0.000276949,0.129888913
Applicant,Program,0,0.002061729
Applicant,On.Campus.ROL,0,0
Applicant,First.Source.,0.000707758,0.425085392
Applicant,Address.Home.Country,0.000492353,0.306028249
Applicant,Citizenship.Coutry,0,0.788626642
Applicant,College.Country,0,0.948610641
Applicant,College.Gpa,0.000338493,0.860448657
Applicant,Hs.Gpa,0.03981906,0.539280549
Applicant,Hs.Country,0,0.539711358
Prospect,Population,0,0
Prospect,Email,0.000241302,0.001900252
Prospect,Active.Term,0,0.462364456
Prospect,Program,0,0.002684483
Prospect,First.Source,0.001040614,0.574690455
Prospect,Address.Home.Country,0.000241302,0.012728671
Prospect,Address.Home.State,0,0.019651017
Prospect,College.Name,0,0.969957923
Prospect,College.State,1.50814E-05,0.98695462
Prospect,College.Country,0,0.986984783
Prospect,Hs.Country,0,0.271615365
