student.type,category,field,count,Percentage
Admitted,Null,Population,0,0
Admitted,Complete Data,Population,13335,1
Admitted,Anomiles,Population,0,0
Admitted,Null,Active.Term,0,0
Admitted,Complete Data,Active.Term,13335,1
Admitted,Anomiles,Active.Term,0,0
Admitted,Null,Address.,25,0.001874766
Admitted,Complete Data,Address.,13310,0.998125234
Admitted,Anomiles,Address.,0,0
Admitted,Null,Email.,488,0.036595426
Admitted,Complete Data,Email.,12844,0.963179603
Admitted,Anomiles,Email.,3,0.000224972
Admitted,Null,Program,0,0
Admitted,Complete Data,Program,13335,1
Admitted,Anomiles,Program,0,0
Admitted,Null,Citizenship.Coutry,10237,0.76767904
Admitted,Complete Data,Citizenship.Coutry,3098,0.23232096
Admitted,Anomiles,Citizenship.Coutry,0,0
Admitted,Null,Visa.Required,0,0
Admitted,Complete Data,Visa.Required,13335,1
Admitted,Anomiles,Visa.Required,0,0
Applicant,Null,Population,0,0
Applicant,Complete Data,Population,32497,1
Applicant,Anomiles,Population,0,0
Applicant,Null,Active.Term,1,3.07721E-05
Applicant,Complete Data,Active.Term,32496,0.999969228
Applicant,Anomiles,Active.Term,0,0
Applicant,Null,Email.,4221,0.129888913
Applicant,Complete Data,Email.,28267,0.869834139
Applicant,Anomiles,Email.,9,0.000276949
Applicant,Null,Program,67,0.002061729
Applicant,Complete Data,Program,32430,0.997938271
Applicant,Anomiles,Program,0,0
Applicant,Null,On.Campus.ROL,0,0
Applicant,Complete Data,On.Campus.ROL,32497,1
Applicant,Anomiles,On.Campus.ROL,0,0
Applicant,Null,First.Source.,13814,0.425085392
Applicant,Complete Data,First.Source.,18660,0.57420685
Applicant,Anomiles,First.Source.,23,0.000707758
Applicant,Null,Address.Home.Country,9945,0.306028249
Applicant,Complete Data,Address.Home.Country,22536,0.693479398
Applicant,Anomiles,Address.Home.Country,16,0.000492353
Applicant,Null,Citizenship.Coutry,25628,0.788626642
Applicant,Complete Data,Citizenship.Coutry,6869,0.211373358
Applicant,Anomiles,Citizenship.Coutry,0,0
Applicant,Null,College.Country,30827,0.948610641
Applicant,Complete Data,College.Country,1670,0.051389359
Applicant,Anomiles,College.Country,0,0
Applicant,Null,College.Gpa,27962,0.860448657
Applicant,Complete Data,College.Gpa,4524,0.13921285
Applicant,Anomiles,College.Gpa,11,0.000338493
Applicant,Null,Hs.Gpa,17525,0.539280549
Applicant,Complete Data,Hs.Gpa,13678,0.420900391
Applicant,Anomiles,Hs.Gpa,1294,0.03981906
Applicant,Null,Hs.Country,17539,0.539711358
Applicant,Complete Data,Hs.Country,14958,0.460288642
Applicant,Anomiles,Hs.Country,0,0
Prospect,Null,Population,0,0
Prospect,Complete Data,Population,66307,1
Prospect,Anomiles,Population,0,0
Prospect,Null,Email,126,0.001900252
Prospect,Complete Data,Email,66165,0.997858446
Prospect,Anomiles,Email,16,0.000241302
Prospect,Null,Active.Term,30658,0.462364456
Prospect,Complete Data,Active.Term,35649,0.537635544
Prospect,Anomiles,Active.Term,0,0
Prospect,Null,Program,178,0.002684483
Prospect,Complete Data,Program,66129,0.997315517
Prospect,Anomiles,Program,0,0
Prospect,Null,First.Source,38106,0.574690455
Prospect,Complete Data,First.Source,28132,0.424268931
Prospect,Anomiles,First.Source,69,0.001040614
Prospect,Null,Address.Home.Country,844,0.012728671
Prospect,Complete Data,Address.Home.Country,65447,0.987030027
Prospect,Anomiles,Address.Home.Country,16,0.000241302
Prospect,Null,Address.Home.State,1303,0.019651017
Prospect,Complete Data,Address.Home.State,65004,0.980348983
Prospect,Anomiles,Address.Home.State,0,0
Prospect,Null,College.Name,64315,0.969957923
Prospect,Complete Data,College.Name,1992,0.030042077
Prospect,Anomiles,College.Name,0,0
Prospect,Null,College.State,65442,0.98695462
Prospect,Complete Data,College.State,864,0.013030298
Prospect,Anomiles,College.State,1,1.50814E-05
Prospect,Null,College.Country,65444,0.986984783
Prospect,Complete Data,College.Country,863,0.013015217
Prospect,Anomiles,College.Country,0,0
Prospect,Null,Hs.Country,18010,0.271615365
Prospect,Complete Data,Hs.Country,48297,0.728384635
Prospect,Anomiles,Hs.Country,0,0
